ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
6291	Katukina	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6292	Poyanawa	foot	tay	tay	t a j	None	377		['t', 'a', '-', 'j', '(', '-', ')']	141
6293	Amawaka	foot	taʔɨ	taʔɨ	t a ʔ ɨ	II	377		['t', 'a', 'ʔ', 'ɨ', '(', '-', ')']	141
6294	Kaxinawa	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6295	Marinawa	foot	táɨ́́	táɨ́́	t !á/a !ɨ́/ɨ	None	377		['t', '!á/a', '-', '!ɨ́/ɨ', '(', '-', ')']	141
6296	Yawanawa	foot	tai	tai	t a i	None	377		['t', 'a', '-', 'i', '(', '-', ')']	141
6297	Korubo	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
6298	Matis	foot	taɨ	taɨ	t a ɨ	None	377		['t', 'a', '-', 'ɨ', '(', '-', ')']	141
1225	Proto-Panoan	forehead, face	βɨmãnan	βɨmãnan	β ɨ m ã n a n	None	490		['β', 'ɨ', 'm', 'ã', 'n', 'a', 'n', '(', '-', '-', ')']	142
1226	Kakataibo	forehead, face	βɨmána	βɨmána	β ɨ m á/a n a	None	490		['β', 'ɨ', 'm', 'á/a', 'n', 'a', '-', '(', '-', '-', ')']	142
1227	ShipiboKonibo	forehead, face	ˈβɨmanan	ˈβɨmanan	β ɨ m a n a n	None	490		['β', 'ɨ', 'm', 'a', 'n', 'a', 'n', '(', '-', '-', ')']	142
1228	ShipiboKonibo	forehead, face	βɨmananin	βɨmananin	β ɨ m a n a n i n	None	490		['β', 'ɨ', 'm', 'a', 'n', 'a', 'n', '(', 'i', 'n', ')']	142
1229	ShipiboKonibo	forehead, face	βɨmã́-	βɨmã́-	β ɨ m ã́/ã	None	704		['β', 'ɨ', 'm', 'ã́/ã', '-', '-', '-', '(', '-', '-', ')']	142
1230	Kapanawa	forehead, face	βɨmana	βɨmana	β ɨ m a n a	None	490		['β', 'ɨ', 'm', 'a', 'n', 'a', '-', '(', '-', '-', ')']	142
1231	Marubo	forehead, face	βɨˈmanɨ	βɨˈmanɨ	β ɨ m a n ɨ	None	490		['β', 'ɨ', 'm', 'a', 'n', 'ɨ', '-', '(', '-', '-', ')']	142
1232	Chakobo	forehead, face	βɨmaˈna	βɨmaˈna	β ɨ m a n a	None	490		['β', 'ɨ', 'm', 'a', 'n', 'a', '-', '(', '-', '-', ')']	142
1233	Yaminawa	forehead, face	ɸɨmãnã	ɸɨmãnã	ɸ ɨ m ã n ã	None	490		['ɸ', 'ɨ', 'm', 'ã', 'n', 'ã', '-', '(', '-', '-', ')']	142
1234	Yaminawa	forehead, face	ɸɨmãnãnã	ɸɨmãnãnã	ɸ ɨ m ã n ã n ã	None	490		['ɸ', 'ɨ', 'm', 'ã', 'n', 'ã', 'n', '(', 'ã', '-', ')']	142
1235	Chaninawa	forehead, face	ɸɨmana	ɸɨmana	ɸ ɨ m a n a	None	490		['ɸ', 'ɨ', 'm', 'a', 'n', 'a', '-', '(', '-', '-', ')']	142
1236	Chaninawa	forehead, face	ɸumana	ɸumana	ɸ u m a n a	None	490		['ɸ', 'u', 'm', 'a', 'n', 'a', '-', '(', '-', '-', ')']	142
1237	Sharanawa	forehead, face	ɸɨmanan	ɸɨmanan	ɸ ɨ m a n a n	None	490		['ɸ', 'ɨ', 'm', 'a', 'n', 'a', 'n', '(', '-', '-', ')']	142
1238	Sharanawa	forehead, face	ɸɨmananɨn	ɸɨmananɨn	ɸ ɨ m a n a n ɨ n	None	490		['ɸ', 'ɨ', 'm', 'a', 'n', 'a', 'n', '(', 'ɨ', 'n', ')']	142
1239	Shanenawa	forehead, face	fumana	fumana	f u m a n a	None	490		['f', 'u', 'm', 'a', 'n', 'a', '-', '(', '-', '-', ')']	142
