ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
3069	Mayoruna	animal horn	maˈʂukud	maˈʂukud	m a ʂ u k u d	None	677	m a ʂ u - ( k u d )
3389	Proto-Panoan	animal horn	mãʂo	mãʂo	m ã ʂ o	None	150	m ã ( - - ) ʂ o ( - - - - - )
3391	Marubo	animal horn	mãˈʃũ	mãˈʃũ	m ã ʃ ũ	None	150	m ã ( - - ) ʃ ũ ( - - - - - )
3392	Chakobo	animal horn	maʃoˈʃo	maʃoˈʃo	m a ʃ o ʃ o	None	150	m a ( - - ) ʃ o ( - - ʃ o - )
3393	Yaminawa	animal horn	mãʂo	mãʂo	m ã ʂ o	None	150	m ã ( - - ) ʂ o ( - - - - - )
3394	Yaminawa	animal horn	mãʂomã	mãʂomã	m ã ʂ o m ã	None	150	m ã ( - - ) ʂ o ( m - ã - - )
3395	Sharanawa	animal horn	maʂo	maʂo	m a ʂ o	None	150	m a ( - - ) ʂ o ( - - - - - )
3396	Sharanawa	animal horn	maʂon	maʂon	m a ʂ o n	None	150	m a ( - - ) ʂ o ( n - - - - )
3397	Shanenawa	animal horn	maʂu	maʂu	m a ʂ u	None	150	m a ( - - ) ʂ u ( - - - - - )
3398	Poyanawa	animal horn	mãhũ	mãhũ	m ã h ũ	None	150	m ã ( - - ) h ũ ( - - - - - )
3399	Kaxarari	animal horn	maʂaˈɦu	maʂaˈɦu	m a ʂ a ɦ u	None	150	m a ( - - ) ʂ a ( ɦ u - - - )
3400	Amawaka	animal horn	máxo	máxo	m !á/a x o	II	150	m !á/a ( - - ) x o ( - - - - - )
3401	Kaxinawa	animal horn	maʂu	maʂu	m a ʂ u	None	150	m a ( - - ) ʂ u ( - - - - - )
3402	Marinawa	animal horn	máʂo	máʂo	m !á/a ʂ o	None	150	m !á/a ( - - ) ʂ o ( - - - - - )
3403	Yawanawa	animal horn	manʃun	manʃun	m a n ʃ u n	None	150	m a ( n - ) ʃ u ( n - - - - )
3405	Mayoruna	animal horn	maˈʂukud	maˈʂukud	m a ʂ u k u d	None	150	m a ( - - ) ʂ u ( - - k u d )
4957	Proto-Panoan	ankle	poʂko	poʂko	p o ʂ k o	None	276	( - - ) - - p o ʂ k o ( - - )
4958	Kapanawa	ankle	tapoʃko	tapoʃko	t a p o ʃ k o	None	276	( t a ) - - p o ʃ k o ( - - )
4959	Marubo	ankle	taˈpuʂɨ	taˈpuʂɨ	t a p u ʂ ɨ	None	276	( t a ) - - p u ʂ - ɨ ( - - )
4960	Chakobo	ankle	hopotó	hopotó	h o p o t !ó/o	None	665	( - - ) h o p o t - !ó/o ( - - )
4961	Yaminawa	ankle	opoʂko	opoʂko	o p o ʂ k o	None	276	( - - ) - o p o ʂ k o ( - - )
4962	Yaminawa	ankle	opoʂkono	opoʂkono	o p o ʂ k o n o	None	276	( - - ) - o p o ʂ k o ( n o )
4963	Chaninawa	ankle	opoʃko	opoʃko	o p o ʃ k o	None	276	( - - ) - o p o ʃ k o ( - - )
4964	Sharanawa	ankle	opoʂko	opoʂko	o p o ʂ k o	None	276	( - - ) - o p o ʂ k o ( - - )
4965	Katukina	ankle	tapuʂku	tapuʂku	t a p u ʂ k u	None	276	( t a ) - - p u ʂ k u ( - - )
4966	Amawaka	ankle	hopoxko	hopoxko	h o p o x k o	II	276	( - - ) h o p o x k o ( - - )
4967	Kaxinawa	ankle	hupúʃku	hupúʃku	h u p ú/u ʃ k u	None	276	( - - ) h u p ú/u ʃ k u ( - - )
4968	Marinawa	ankle	ópoʂko	ópoʂko	!ó/o p o ʂ k o	None	276	( - - ) - !ó/o p o ʂ k o ( - - )
4969	Marinawa	ankle	rápoʂko	rápoʂko	r !á/a p o ʂ k o	None	276	( r !á/a ) - - p o ʂ k o ( - - )
4970	Yawanawa	ankle	upuʃˈku	upuʃˈku	u p u ʃ k u	None	276	( - - ) - u p u ʃ k u ( - - )
5168	ShipiboKonibo	ankle	taɨ_patṍko	taɨ_patṍko	t a ɨ + p a t !ṍ/o ~ k o	None	291	t a ɨ ( + - p a ) t !ṍ/o ~ k o ( - - - )
5172	Chakobo	ankle	hopotó	hopotó	h o p o t !ó/o	(ver etimologia 345	666	h o - ( - ) p o t !ó/o ( - ) - - ( - - - )
5639	Proto-Panoan	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ ( - )
5641	ShipiboKonibo	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5642	Kapanawa	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ ( - )
5643	Marubo	anteater	ʃaɨ	ʃaɨ	ʃ a ɨ	None	328	ʃ a - ɨ ( - )
5644	Chakobo	anteater	ʂaʔɨ	ʂaʔɨ	ʂ a ʔ ɨ	None	328	ʂ a ʔ ɨ ( - )
5645	Sharanawa	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5646	Sharanawa	anteater	ʂaɨn	ʂaɨn	ʂ a ɨ n	None	328	ʂ a - ɨ ( n )
5647	Shanenawa	anteater	saɨ	saɨ	s a ɨ	None	328	s a - ɨ ( - )
5648	Katukina	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5649	Amawaka	anteater	xaʔɨ	xaʔɨ	x a ʔ ɨ	II	328	x a ʔ ɨ ( - )
5650	Kaxinawa	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5651	Marinawa	anteater	ʂaɨ́́	ʂaɨ́́	ʂ a !ɨ́/ɨ	None	328	ʂ a - !ɨ́/ɨ ( - )
5652	Poyanawa	anteater	hay	hay	h a i	None	328	h a - i ( - )
