Grapheme	IPA	Examples	Languages	Frequence	Codepoints
x	x	examinar, nɨxɨxɸI	Amawaka, ShipiboKonibo, Chakobo, Kaxinawa, Kapanawa, Kakataibo, Marinawa, Mayoruna, Poyanawa, Korubo	63	U+0078
c	c	tocar_con_el_codo, arcilla	Mayoruna, Kaxinawa, Sharanawa, ShipiboKonibo, Chakobo, Kakataibo, Yaminawa, Marinawa, Amawaka	57	U+0063
õ	õ	kõʂã́, ʂõtako	Amawaka, ShipiboKonibo, Kakataibo, Yaminawa, Marinawa, Marubo	52	U+00f5
r$	r	examinar, probar	Mayoruna, Kaxinawa, Sharanawa, Amawaka, Chakobo, ShipiboKonibo, Kapanawa, Yaminawa, Shanenawa, Marinawa, Korubo	50	U+0072 U+0024
ã́$	ã́	tonã́, βɨʂnã́	ShipiboKonibo, Kakataibo, Marinawa, Kapanawa	47	U+00e3 U+0301 U+0024
h	h	kɨhu, pahinki	Poyanawa, Yawanawa, Kaxarari, Shanenawa, Chakobo, Kaxinawa, Mayoruna, ShipiboKonibo, Amawaka	44	U+0068
aa$	aa	haa, naa	Sharanawa, Amawaka, Yaminawa, ShipiboKonibo, Chakobo, Kapanawa, Kakataibo, Kaxinawa, Marubo	44	U+0061 U+0061 U+0024
i᷈	i᷈	ʔisi᷈_o_ʔi᷈si᷈-, βi᷈píʃ	Amawaka, Kakataibo, Yaminawa, Poyanawa, ShipiboKonibo, Marubo, Marinawa, Kaxinawa, Yawanawa	43	U+0069 U+1dc8
aa	aa	una-maska-ai, kɨxaa_I	Amawaka, Katukina, Sharanawa, Kapanawa, Chakobo	42	U+0061 U+0061
^x	x	xotʃi_II, xɨʔa_I	Amawaka	42	U+005e U+0078
õ$	õ	-ʂõ, wasnõ	Yaminawa, Marinawa, Amawaka, Kakataibo, Marubo, ShipiboKonibo, Katukina	39	U+00f5 U+0024
ɨ́	ɨ́	ɸɨ́po, kɨ᷈kɨ́ʂ	Marinawa, Amawaka, ShipiboKonibo, Chakobo, Kapanawa, Kakataibo, Kaxinawa	39	U+0268 U+0301
^f	f	fuerte, fuin	Shanenawa, Sharanawa, Kakataibo, Mayoruna, ShipiboKonibo, Marubo, Yaminawa, Kaxinawa, Amawaka	36	U+005e U+0066
